Time,State,Entity,Confirmed,Deaths,Recovered,Latitude,Longitude
2020-03-30 22:52:45,Massachusetts,Barnstable,173,2,0,41.72980578,-70.28854339
2020-03-30 22:52:45,South Carolina,Barnwell,1,0,0,33.26679302,-81.43584352
2020-03-30 22:52:45,Kentucky,Barren,1,0,0,36.96469836,-85.93338945
2020-03-30 22:52:45,Wisconsin,Barron,0,0,0,45.42372701,-91.84833627
2020-03-30 22:52:45,Georgia,Barrow,7,1,0,33.99148694,-83.71436292
2020-03-30 22:52:45,Michigan,Barry,1,0,0,42.59513984,-85.30834519
2020-03-30 22:52:45,Missouri,Barry,1,0,0,36.70978521,-93.82919888
2020-03-30 22:52:45,Indiana,Bartholomew,10,0,0,39.20744865,-85.89558181
2020-03-30 22:52:45,Kansas,Barton,0,0,0,38.47889676,-98.75636726
2020-03-30 22:52:45,Missouri,Barton,0,0,0,37.50207671,-94.34757022
2020-03-30 22:52:45,Georgia,Bartow,121,1,0,34.23732119,-84.83887523
2020-03-30 22:52:45,Texas,Bastrop,6,0,0,30.10370699,-97.31206354
2020-03-30 22:52:45,Missouri,Bates,1,0,0,38.25271289,-94.34113157
2020-03-30 22:52:45,Kentucky,Bath,0,0,0,38.14735938,-83.74588932
2020-03-30 22:52:45,Virginia,Bath,0,0,0,38.05852573,-79.73912095
2020-03-30 22:52:45,Arkansas,Baxter,1,0,0,36.28784385,-92.33782872
2020-03-30 22:52:45,Florida,Bay,6,0,0,30.26548745,-85.62122584
2020-03-30 22:52:45,Michigan,Bay,9,0,0,43.70639106,-83.98731479
2020-03-30 22:52:45,Wisconsin,Bayfield,2,0,0,46.52868768,-91.19716729
2020-03-30 22:52:45,Texas,Baylor,0,0,0,33.61640794,-99.21352901
2020-03-30 22:52:45,South Dakota,Beadle,20,0,0,44.41464384,-98.27858469
2020-03-30 22:52:45,Idaho,Bear Lake,0,0,0,42.28269683,-111.32892379999998
2020-03-30 22:52:45,North Carolina,Beaufort,4,0,0,35.48531943,-76.84325809
2020-03-30 22:52:45,South Carolina,Beaufort,74,1,0,32.39226291,-80.72619758
2020-03-30 22:52:45,Louisiana,Beauregard,5,0,0,30.64836518,-93.34173616
2020-03-30 22:52:45,Oklahoma,Beaver,0,0,0,36.7496847,-100.4758872
